Optimizer,lr,wd,curv,surrogate,Avg Epoch Time (s),Final Train MSE,Final Val MSE,Test MSE,Test RMSE,Test MAE,Test R²,Dir Acc (%)
Roaree,0.0001,0,10,sigmoid,0.24745503304496644,0.21813727915287018,0.18331250548362732,0.18786754498607497,0.4334368985055091,0.4108389230181567,-868.873675718919,35.0
Roaree,0.0001,0.001,10,sigmoid,0.2682571335444375,0.21813084185123444,0.18330678343772888,0.18786183937776887,0.43343031663436843,0.4108323556666367,-868.8472573268023,35.0
Roaree,0.0001,0.01,10,sigmoid,0.25054607315668986,0.2180870920419693,0.18326793611049652,0.18782159939095827,0.43338389378351183,0.41078732108856664,-868.6609361331102,35.0
Roaree,0.0001,0.1,10,sigmoid,0.24872291277325342,0.21764402091503143,0.18287453055381775,0.18741685264832297,0.43291668095411034,0.4103323089719854,-866.786857580705,35.0
Roaree,0.001,0,10,sigmoid,0.2506893438006204,0.21992063522338867,0.23123574256896973,0.25607973942632034,0.5060432189312691,0.4997298454754238,-1184.7131801473604,66.0
Roaree,0.001,0.001,10,sigmoid,0.2457092981489878,0.2199045866727829,0.23121777176856995,0.25605886997152766,0.5060225982814677,0.4997095775120144,-1184.616549357023,66.0
Roaree,0.001,0.01,10,sigmoid,0.253701683074709,0.2197655886411667,0.2310619056224823,0.25587763498419014,0.505843488624881,0.4995335715525036,-1183.777386080493,66.0
Roaree,0.001,0.1,10,sigmoid,0.24773272635444762,0.21837379038333893,0.2295026034116745,0.25406566609522124,0.5040492695116433,0.4977704247348194,-1175.3875173681909,66.0
Roaree,0.01,0,10,sigmoid,0.24480809105767143,1.0014992952346802,0.9977210760116577,0.9949664751137997,0.9974800625144342,0.9973721189499148,-4605.943391890755,67.0
Roaree,0.01,0.001,10,sigmoid,0.294664738670228,1.0020157098770142,0.9985226392745972,1.004525424361214,1.0022601580234616,1.0021515931339027,-4650.203715399402,35.0
Roaree,0.01,0.01,10,sigmoid,0.24930625491672093,0.9978324770927429,0.9999692440032959,0.9952151152504399,0.9976046888675092,0.9974964400641805,-4607.09465785107,66.0
Roaree,0.01,0.1,10,sigmoid,0.24517749983166892,0.9990029335021973,0.9999691843986511,0.9952098166111044,0.9976020331831248,0.9974938156716711,-4607.070123826977,66.0
Roaree,0.0001,0,100,sigmoid,0.2461222391279917,0.12174917012453079,0.09550502896308899,0.09391390629629068,0.306453758822258,0.2830558693466177,-433.8448524045584,34.0
Roaree,0.0001,0.001,100,sigmoid,0.2690062674265059,0.1217445433139801,0.09550120681524277,0.0939102276796695,0.30644775685207665,0.28304999849399826,-433.827819490427,34.0
Roaree,0.0001,0.01,100,sigmoid,0.2490744742136153,0.12171395868062973,0.09547551721334457,0.09388463440422706,0.3064059960317798,0.2830101030097743,-433.70931623014087,34.0
Roaree,0.0001,0.1,100,sigmoid,0.24865746119665721,0.12140524387359619,0.09521728754043579,0.09362916300335639,0.30598882823292156,0.28261053083105286,-432.5264198095116,34.0
Roaree,0.001,0,100,sigmoid,0.24691973792182076,0.003168791066855192,0.0026942002587020397,0.003619924201505985,0.06016580591586873,0.04716915566040579,-15.761153562853465,50.0
Roaree,0.001,0.001,100,sigmoid,0.24998177800859725,0.0031680194661021233,0.0026934966444969177,0.003619014757641775,0.06015824762775072,0.0471632218364105,-15.75694261051958,50.0
Roaree,0.001,0.01,100,sigmoid,0.24598008110409691,0.0031611942686140537,0.002687334781512618,0.0036110574059869437,0.06009207440242801,0.04711127507765222,-15.720098084055525,50.0
Roaree,0.001,0.1,100,sigmoid,0.2459728339361766,0.0030935723334550858,0.002626656321808696,0.0035328567738304338,0.05943783957909669,0.04659607084179906,-15.358009617191449,53.0
Roaree,0.01,0,100,sigmoid,0.25097681984068854,0.005138116423040628,0.006641034036874771,0.006697729405704625,0.08183965668124851,0.07421477415655016,-30.012160708986844,70.0
Roaree,0.01,0.001,100,sigmoid,0.25015969503493535,0.005129744298756123,0.006591503508388996,0.006682152171851799,0.08174443205412708,0.07411693245772756,-29.94003422396733,70.0
Roaree,0.01,0.01,100,sigmoid,0.2458909693218413,0.005069888662546873,0.006176166236400604,0.006427878579194586,0.08017405178232286,0.07292630355675914,-28.762683954662542,70.0
Roaree,0.01,0.1,100,sigmoid,0.24902221134730748,0.003940810915082693,0.0033444371074438095,0.0049241429342582,0.0701722376318313,0.06288231966240997,-21.80001218042219,65.0
Roaree,0.0001,0,1000,sigmoid,0.24692073322477795,0.1005377396941185,0.07651067525148392,0.07198701243628322,0.2683039553124091,0.24518973171020028,-332.31785496326506,34.0
Roaree,0.0001,0.001,1000,sigmoid,0.2511396332392617,0.10053358227014542,0.07650728523731232,0.07198388418787213,0.26829812557651633,0.24518408885466036,-332.30337039146684,34.0
Roaree,0.0001,0.01,1000,sigmoid,0.24617574706910147,0.10050633549690247,0.07648494094610214,0.07196229508129119,0.26825788913150567,0.24514573019238292,-332.20340743353046,34.0
Roaree,0.0001,0.1,1000,sigmoid,0.24608113652183897,0.10023172199726105,0.07626041024923325,0.0717477695863427,0.26785774132240925,0.24476385167108952,-331.21010078846786,34.0
Roaree,0.001,0,1000,sigmoid,0.2465150129227411,0.0008787863189354539,0.0007068260456435382,0.0008351880896641689,0.02889962092595972,0.023306079580195066,-2.8671295434593698,60.0
Roaree,0.001,0.001,1000,sigmoid,0.25365727288382395,0.0008786492981016636,0.0007067275000736117,0.0008349904770838504,0.02889620177607864,0.023303193988956326,-2.8662145478350713,60.0
Roaree,0.001,0.01,1000,sigmoid,0.2505168952639141,0.0008774459129199386,0.0007058535702526569,0.0008332272616977554,0.028865676186394032,0.02327747348053642,-2.858050420023105,60.0
