Optimizer,lr,wd,curv,surrogateAvg Epoch Time (s),Final Train MSE,Final Val MSE,Test MSE,Test RMSE,Test MAE,Test R²,Dir Acc (%)
Roaree,0.0001,0,10,norm,0.26815113567170645,0.09126158058643341,0.06769725680351257,0.06407760142064613,0.25313553962382707,0.22901732831502436,-295.69530563760105,34.0
Roaree,0.0001,0.001,10,norm,0.2575596665579175,0.09125813096761703,0.0676945149898529,0.06407506463337088,0.2531305288450425,0.22901249739581822,-295.68355967865,34.0
Roaree,0.0001,0.01,10,norm,0.2559137155139257,0.09123596549034119,0.06767692416906357,0.06405811141874172,0.25309703952978535,0.22898114339688896,-295.60506205881995,34.0
Roaree,0.0001,0.1,10,norm,0.2616618890610952,0.09099496155977249,0.0674847960472107,0.06387434681085932,0.2527337468777356,0.2286365706777024,-294.75418600709133,34.0
Roaree,0.001,0,10,norm,0.25509785470508395,0.006678103469312191,0.006011512130498886,0.007487018339126264,0.0865275582639789,0.06721331310591129,-33.66676569022848,52.0
Roaree,0.001,0.001,10,norm,0.2555785822489905,0.006676523946225643,0.0060100676491856575,0.007485279942016037,0.0865175123429704,0.0672053549545112,-33.658716477235124,52.0
Roaree,0.001,0.01,10,norm,0.26155091845800005,0.0066627804189920425,0.005997530184686184,0.007470186802401446,0.08643024240624023,0.06713608284380687,-33.58883146949918,52.0
Roaree,0.001,0.1,10,norm,0.25729750830029685,0.00652632350102067,0.005873485468327999,0.0073210867289103376,0.08556334921513029,0.06644862115766319,-32.89846087362386,53.0
Roaree,0.01,0,10,norm,0.25459885218786815,0.001818811520934105,0.0013693533837795258,0.0018335458347956773,0.04281992333944185,0.0349841236814125,-7.4897753629082136,62.0
Roaree,0.01,0.001,10,norm,0.2595578942980085,0.001815963420085609,0.0013673010980710387,0.0018295380547474847,0.04277309966260903,0.034944198139916595,-7.471218339861721,62.0
Roaree,0.01,0.01,10,norm,0.2615946096087259,0.0017906264401972294,0.001349007012322545,0.0017939864537368593,0.04235547725780999,0.03458769251729497,-7.306605543909674,62.0
Roaree,0.01,0.1,10,norm,0.25981136730739046,0.0015592410927638412,0.0011807455448433757,0.0014776775897172665,0.03844057218249055,0.031210254699605474,-5.84201646745374,62.0
Roaree,0.0001,0,100,norm,0.25449316463773214,0.01123120915144682,0.008491276763379574,0.010256425567950684,0.10127401230301229,0.07983696294548978,-46.48981315102649,57.99999999999999
Roaree,0.0001,0.001,100,norm,0.26140348116556805,0.011230547912418842,0.00849100574851036,0.01025631819024782,0.10127348216708962,0.07983642400774231,-46.48931596543177,57.99999999999999
Roaree,0.0001,0.01,100,norm,0.264013271483164,0.011226901784539223,0.008489000611007214,0.01025479415580357,0.10126595753659554,0.07983016065853704,-46.48225930514466,57.99999999999999
Roaree,0.0001,0.1,100,norm,0.2560521761576335,0.01118551567196846,0.008469020947813988,0.010242957492358852,0.10120749721418296,0.07977807932890543,-46.42745259577041,57.99999999999999
Roaree,0.001,0,100,norm,0.2583043234688895,0.0017728463280946016,0.0014008348807692528,0.0018314099662229903,0.04279497594604991,0.034977527519854314,-7.4798857577275335,63.0
Roaree,0.001,0.001,100,norm,0.25978556890336296,0.0017725289799273014,0.0014005866833031178,0.0018309705660204756,0.042789841855520754,0.03497319323772431,-7.477851224997032,63.0
Roaree,0.001,0.01,100,norm,0.2569793519519624,0.0017698032315820456,0.001398482359945774,0.0018271790038399392,0.04274551442946896,0.03493586192669214,-7.460295344704113,63.0
Roaree,0.001,0.1,100,norm,0.25722655038984993,0.0017427203711122274,0.0013775271363556385,0.001789620460197861,0.04230390596857294,0.03456354424362403,-7.286389902894005,63.0
Roaree,0.01,0,100,norm,0.26327656564258395,0.02470356412231922,0.02368026040494442,0.02567574004682062,0.16023651283905493,0.14802538734943643,-117.88509200983479,36.0
Roaree,0.01,0.001,100,norm,0.2550564115009611,0.024651166051626205,0.0236296858638525,0.025625013974675283,0.16007814958536748,0.1478764165201135,-117.65021762088637,36.0
Roaree,0.01,0.01,100,norm,0.2563230688609774,0.024184856563806534,0.023177914321422577,0.02517306872008356,0.15866023042994598,0.14654098252615927,-115.55759816463826,36.0
Roaree,0.01,0.1,100,norm,0.2578835903652131,0.019939489662647247,0.01896532252430916,0.0210373568395663,0.14504260353277687,0.13424238427850124,-96.40821876817782,35.0
Roaree,0.0001,0,500,norm,0.2596535190703377,0.010308068245649338,0.011206863448023796,0.01620315797779137,0.12729162571744998,0.10317678372811667,-74.02467011766416,70.0
Roaree,0.0001,0.001,500,norm,0.25509742706541033,0.010307763703167439,0.011206872761249542,0.016203296262693158,0.12729216889774939,0.10317752894915781,-74.02531041131266,70.0
Roaree,0.0001,0.01,500,norm,0.25448885796562076,0.010305825620889664,0.011206003837287426,0.01620259989897339,0.12728943357157887,0.10317709180962435,-74.02208607328986,70.0
Roaree,0.0001,0.1,500,norm,0.26153045987326,0.010286442935466766,0.011202311143279076,0.01620476026531565,0.127297919328305,0.1032054450872182,-74.0320891092649,70.0
Roaree,0.001,0,500,norm,0.2608824608817933,0.0015628122491762042,0.0012810775078833103,0.0015028471777429637,0.03876657294297452,0.029963818085476185,-5.958557949133649,53.0
Roaree,0.001,0.001,500,norm,0.2575170161232116,0.001562486751936376,0.0012809006730094552,0.0015025408936916065,0.03876262237893106,0.02996066330010387,-5.957139777444719,53.0
Roaree,0.001,0.01,500,norm,0.2571871961866106,0.0015596584416925907,0.001279359683394432,0.0014998916825580925,0.038728435064666535,0.029933277182086267,-5.944873267938586,53.0
Roaree,0.001,0.1,500,norm,0.2592303715054951,0.0015317024663090706,0.0012641323264688253,0.0014737233442992596,0.038389104499835104,0.029661130668051438,-5.823707323121698,53.0
Roaree,0.01,0,500,norm,0.2555587443094405,0.039012063294649124,0.04236464202404022,0.04124205628166445,0.20308140309162837,0.18400145554168168,-189.96102573010748,34.0
Roaree,0.01,0.001,500,norm,0.25506932394845144,0.038981322199106216,0.042327798902988434,0.041209002846835666,0.20300000701191037,0.18392924712223951,-189.80798006779372,34.0
Roaree,0.01,0.01,500,norm,0.2619449373275515,0.03870391100645065,0.04197153449058533,0.04087256157015829,0.20216963562849463,0.1831717358641142,-188.25017289024953,34.0
Roaree,0.01,0.1,500,norm,0.25423994896903873,0.0362548865377903,0.03762003779411316,0.036730511562579636,0.19165205859207365,0.1738584048040027,-169.07144638178804,34.0
Roaree,0.0001,0,10,softsign,0.25493175264388795,0.13107308745384216,0.1024814248085022,0.09927713871281003,0.315082748992721,0.2922483121474674,-458.67795860306836,33.0
Roaree,0.0001,0.001,10,softsign,0.26023225178794257,0.13106852769851685,0.10247763246297836,0.09927351246511357,0.3150769945031112,0.29224271488948067,-458.6611681701438,33.0
Roaree,0.0001,0.01,10,softsign,0.2615415822891962,0.13103920221328735,0.10245325416326523,0.09924946337281432,0.3150388283574174,0.29220651417611443,-458.5498148636554,33.0
Roaree,0.0001,0.1,10,softsign,0.25516285593547516,0.13072411715984344,0.10219046473503113,0.09899209788361044,0.31463009691320126,0.29181510412706335,-457.35814834076785,33.0
Roaree,0.001,0,10,softsign,0.2541212808518183,0.006989315617829561,0.008633958175778389,0.011657626562208265,0.10797048931170158,0.08195451529243332,-52.977723872307216,62.0
Roaree,0.001,0.001,10,softsign,0.2614984398796445,0.006988319102674723,0.008632959797978401,0.011656388936380359,0.10796475784430935,0.08195137422311422,-52.971993355478645,62.0
Roaree,0.001,0.01,10,softsign,0.2613524671584841,0.006979568861424923,0.008624130859971046,0.011645383700236845,0.10791377901008214,0.08192274657206912,-52.921036362257574,62.0
Roaree,0.001,0.1,10,softsign,0.2549180378989568,0.006894745863974094,0.008538385853171349,0.01153816598378795,0.10741585536496905,0.0816430337972783,-52.42459154462555,62.0
Roaree,0.01,0,10,softsign,0.2571445419674828,0.001812652568332851,0.0013722097501158714,0.0018322750569251054,0.04280508213898328,0.03496064604629898,-7.483891343838401,61.0
Roaree,0.01,0.001,10,softsign,0.2597290977599129,0.0018097562715411186,0.0013700979761779308,0.0018282374313330905,0.042757893205033974,0.03492033877779865,-7.465196128466513,61.0
Roaree,0.01,0.01,10,softsign,0.26021186889164033,0.0017839756328612566,0.0013512795558199286,0.0017923933917029422,0.04233666722479395,0.03456017942188443,-7.299229268634482,61.0
Roaree,0.01,0.1,10,softsign,0.25472804099794416,0.001549257431179285,0.0011787499533966184,0.0014737551005221615,0.03838951810744909,0.031167692335460098,-5.823854362368658,63.0
Roaree,0.0001,0,100,softsign,0.2618369942619687,0.02448664791882038,0.014926067553460598,0.012936225614454924,0.11373752948985187,0.09470799258117488,-58.89795696754975,43.0
Roaree,0.0001,0.001,100,softsign,0.25455777985709055,0.024485191330313683,0.014925139956176281,0.01293553606686737,0.11373449813872381,0.09470530496117582,-58.894764189922235,43.0
Roaree,0.0001,0.01,100,softsign,0.2543951291886587,0.024477090686559677,0.014919837936758995,0.012931186366102632,0.113715374361177,0.09468849015560857,-58.87462398852246,43.0
Roaree,0.0001,0.1,100,softsign,0.25623689000568695,0.024383962154388428,0.014859311282634735,0.012882836254220207,0.11350258258832795,0.09449967257351538,-58.65075088927212,43.0
Roaree,0.001,0,100,softsign,0.26099865777151926,0.0016634917119517922,0.0013682640856131911,0.00198499058057522,0.04455323311023814,0.0361593311598824,-8.19100237734188,63.0
Roaree,0.001,0.001,100,softsign,0.25563267677549334,0.0016631819307804108,0.001367997727356851,0.001984509768695729,0.0445478368576492,0.03615483126997218,-8.188776098199448,63.0
