Optimizer,lr,wd,curv,surrogate,Avg Epoch Time (s),Final Train MSE,Final Val MSE,Test MSE,Test RMSE,Test MAE,Test R²,Dir Acc (%)
Roaree,0.0001,0,1000,norm,0.27176754436795675,0.010520076379179955,0.01182736735790968,0.017253009579989917,0.13135071214116015,0.10715705201964905,-78.88574536209521,71.0
Roaree,0.0001,0.001,1000,norm,0.2580278184678819,0.01051980722695589,0.011827399954199791,0.01725317485083435,0.13135134126012704,0.10715784342963328,-78.88651060740114,71.0
Roaree,0.0001,0.01,1000,norm,0.2645913002982972,0.010518043301999569,0.011826633475720882,0.017252531385922056,0.1313488918336278,0.10715755296292795,-78.88353120407474,71.0
Roaree,0.0001,0.1,1000,norm,0.26501447435409303,0.010500914417207241,0.011824442073702812,0.01725579708801187,0.1313613226486848,0.10718802289226172,-78.89865222075103,71.0
Roaree,0.001,0,1000,norm,0.255464580323961,0.0019786658231168985,0.001539258286356926,0.00164774891110244,0.040592473577036915,0.0302132283353646,-6.629489181160943,56.00000000000001
Roaree,0.001,0.001,1000,norm,0.258279630116054,0.0019783014431595802,0.001539065269753337,0.0016474707361228951,0.04058904699697808,0.030210501618443866,-6.628201161498113,56.00000000000001
Roaree,0.001,0.01,1000,norm,0.2582186328040229,0.0019751102663576603,0.0015373913338407874,0.0016450144996913868,0.04055877833085443,0.030186306304990192,-6.616828173080825,56.00000000000001
Roaree,0.001,0.1,1000,norm,0.25589465338086326,0.0019433677662163973,0.0015206703683361411,0.0016205371978416185,0.0402558964356977,0.02994348254915594,-6.503492149376903,56.00000000000001
Roaree,0.01,0,1000,norm,0.253816460806226,0.04017705097794533,0.036517634987831116,0.03592994146763262,0.1895519492583303,0.16949758666751927,-165.3646068038619,34.0
Roaree,0.01,0.001,1000,norm,0.2614744655669682,0.04013381153345108,0.03647042065858841,0.03587894620724613,0.18941738623274826,0.16936870721353237,-165.1284860060949,34.0
Roaree,0.01,0.01,1000,norm,0.2573094632890489,0.039807822555303574,0.03632359951734543,0.03577510448887375,0.18914307941046574,0.16912482858819908,-164.64767290311724,34.0
Roaree,0.01,0.1,1000,norm,0.2552943721650139,0.035688988864421844,0.03368161618709564,0.03213193608639456,0.1792538314413239,0.15931790861485548,-147.77889288173304,34.0
Roaree,0.0001,0,1000,softsign,0.2588489547608391,0.010174072347581387,0.009776757098734379,0.013543759828181843,0.11637766034846139,0.09290425632370398,-61.71099218158212,68.0
Roaree,0.0001,0.001,1000,softsign,0.2569983573186965,0.010173646733164787,0.00977666862308979,0.013543827799362782,0.11637795237656823,0.09290456762816986,-61.71130690513382,68.0
Roaree,0.0001,0.01,1000,softsign,0.2626799099029057,0.010171188041567802,0.009775493294000626,0.013542963320690151,0.11637423821744292,0.09290282334131417,-61.70730415287239,68.0
Roaree,0.0001,0.1,1000,softsign,0.2576701868148077,0.010144894011318684,0.009766928851604462,0.01354146430346623,0.1163677975363727,0.09291012619901677,-61.70036332856643,68.0
Roaree,0.001,0,1000,softsign,0.26176174860151985,0.0012647700496017933,0.0011519999243319035,0.001361151290727641,0.036893783903628546,0.029826954891173887,-5.302470586724099,54.0
Roaree,0.001,0.001,1000,softsign,0.2542273998260498,0.0012647625990211964,0.0011520321713760495,0.0013610800953858153,0.03689281902194268,0.029826699014953127,-5.302140934501878,54.0
Roaree,0.001,0.01,1000,softsign,0.2541886738368443,0.0012646975228562951,0.001152288867160678,0.0013603661446672907,0.03688314174073693,0.029822663466180465,-5.298835164280357,54.0
Roaree,0.001,0.1,1000,softsign,0.26564676421029226,0.0012640176573768258,0.0011536699021235108,0.001350578099334592,0.03675021223523195,0.029732860659547534,-5.253514068652642,54.0
Roaree,0.01,0,1000,softsign,0.2543831363556877,0.033715005964040756,0.036389753222465515,0.03639656259272225,0.19077883161588513,0.17145253547651712,-167.52517920757268,34.0
Roaree,0.01,0.001,1000,softsign,0.25485202244349886,0.03368865326046944,0.03633159399032593,0.03633693108974431,0.19062248316959968,0.17130959780139868,-167.24907044867075,34.0
Roaree,0.01,0.01,1000,softsign,0.2580908139546712,0.03344586119055748,0.03585325926542282,0.03582842966868223,0.1892839921089003,0.17008369800819104,-164.89458180998463,34.0
Roaree,0.01,0.1,1000,softsign,0.261439633747888,0.030492760241031647,0.03186136484146118,0.03093170269289617,0.17587411035424222,0.1581888430118377,-142.2215123677096,34.0
