Optimizer,lr,wd,Avg Epoch Time (s),Final Train MSE,Final Val MSE,Test MSE,Test RMSE,Test MAE,Test R²,Dir Acc (%)
SGD,1e-05,0,0.28482439782884383,0.27959051728248596,0.24047693610191345,0.2442614148350515,0.49422810000550504,0.4750199191383834,-1129.991384246912,34.0
SGD,1e-05,0.0001,0.30460688802931046,0.2795904278755188,0.2404768168926239,0.2442612990582797,0.49422798287660696,0.47501978219671204,-1129.9908481715295,34.0
SGD,1e-05,0.0005,0.24796385235256618,0.27959033846855164,0.24047671258449554,0.2442612700988658,0.4942279535789794,0.4750197321288104,-1129.990714082207,34.0
SGD,1e-05,0.001,0.25009376662118094,0.27958986163139343,0.24047628045082092,0.2442607441218173,0.494227421458803,0.4750192429236884,-1129.9882786770465,34.0
SGD,1e-05,0.005,0.2486982988932776,0.2795878052711487,0.24047446250915527,0.2442592116793192,0.4942258711149379,0.47501760584486674,-1129.9811830853691,34.0
SGD,1e-05,0.01,0.2972165213690864,0.27958542108535767,0.24047230184078217,0.24425703328159723,0.4942236672616936,0.47501538825405787,-1129.9710965596007,34.0
SGD,1e-05,0.05,0.24948085678948295,0.27956199645996094,0.2404509037733078,0.244234932035099,0.494201307196874,0.47499331762267305,-1129.8687622658788,34.0
SGD,1e-05,0.1,0.24688670748756045,0.27953407168388367,0.24042551219463348,0.24420877137948863,0.49417483887738417,0.47496734657509276,-1129.7476318936442,34.0
SGD,5e-05,0,0.2471664897979252,0.22107598185539246,0.18527428805828094,0.18572993254581302,0.43096395736280896,0.410153142734878,-858.975995995628,35.0
SGD,5e-05,0.0001,0.24593119394211543,0.22107569873332977,0.18527406454086304,0.18572974721689828,0.4309637423460334,0.41015291087280986,-858.9751378764446,35.0
SGD,5e-05,0.0005,0.24889083514137875,0.2210748940706253,0.18527337908744812,0.18572908352989137,0.4309629723420463,0.41015221089076276,-858.9720648397672,35.0
SGD,5e-05,0.001,0.24657056823609366,0.22107350826263428,0.18527209758758545,0.1857278810241094,0.43096157720162176,0.4101507764304804,-858.9664969375267,35.0
SGD,5e-05,0.005,0.24676172317020476,0.22106418013572693,0.18526385724544525,0.18571941434333122,0.4309517540784945,0.4101412315289306,-858.9272940899557,35.0
SGD,5e-05,0.01,0.25480834264603874,0.22105224430561066,0.18525330722332,0.18570871371936984,0.4309393387930253,0.41012917604249,-858.8777475272512,35.0
SGD,5e-05,0.05,0.2500359709300692,0.22095723450183868,0.1851692795753479,0.1856237818224082,0.43084078477136795,0.41003298990380044,-858.4844916223993,35.0
SGD,5e-05,0.1,0.24538641884213402,0.22083865106105804,0.18506436049938202,0.18551768740006971,0.4307176423134647,0.40991286668878074,-857.9932479371757,35.0
